"code","uri","dataset_code","label_en","label_fr","definition_en","definition_fr"
"RS",,"FA","Landing survey","Enquête débarquement","Catch and effort data collected at the landing place by staff from research institutions (sampling survey or total enumeration)","Prises et efforts recueillis sur les sites de débarquement par du personnel d’institutions de recherche (échantillonnages ou dénombrement total)"
"TR",,"FA","Interview","Entretien","Catch and effort data derived from interviews completed at the end of each trip by the captain / fishing master of the ship (aggregated data)","Prises et efforts provenant d’entretiens réalisés à la fin de chaque marée avec le capitaine ou le patron de pêche (données agrégées)"
"UN",,"FA","Unknown","Inconnu","Amounts unknown; fully estimated","Inconnu; Entièrement estimé"
"GV",,"FC","Observed crafts","Navires actifs","Number of crafts actually operated monitored by Port Authorities or other government offices","Nombre de navires effectivement actifs suivis par les autorités portuaires ou d’autres services gouvernementaux"
"RG",,"FC","Registered crafts","Navires enregistrés","Number of crafts registered at the Ministry of Fisheries or other government institutions (Ministry of Transportation, etc.)","Nombre de navires enregistrés auprès du Ministère des pêches ou de toute autre institution gouvernementale (Ministère des transports, etc.)"
"RS",,"FC","Landing survey","Enquête débarquement","Number of crafts actually operated monitored at the landing place by staff from research institutions","Nombre de navires effectivement actifs relevé sur les sites de débarquement par du personnel d’institutions de recherche"
"UN",,"FC","Unknown","Inconnu","Unknown","Inconnu"
"A1",,"RC","Industry & research","Industrie & recherche","Amounts offloaded, whether landed, transshipped at sea or in port, or containerised, monitored by the fishing industry and by staff from research institutions","Quantités déchargées, qu'il s'agisse de débarquement, de transbordement en mer ou au port, ou de conteneurisation, suivies par l’industrie de la pêche et par du personnel d’instituts de recherche"
"CS",,"RC","Customs","Douanes","Amounts offloaded, whether landed, transshipped at sea or in port, or containerised, monitored by the Customs","Quantités déchargées, qu'il s'agisse de débarquement, de transbordement en mer ou au port, ou de conteneurisation, suivies par les Douanes"
"LG",,"RC","Logbook","Livre de bord","Amounts as recorded in the vessel fishing logbook","Quantités déchargées comme enregistrées dans le livre de pêche"
"OB",,"RC","Observer","Observateurs","Amounts offloaded, whether landed, transshipped at sea or in port, or containerised, monitored by observers","Quantités déchargées, qu'il s'agisse de débarquement, de transbordement en mer ou au port, ou de conteneurisation, suivies par des observateurs"
"PA",,"RC","Port authority","Autorité portuaire","Amounts offloaded, whether landed, transshipped at sea or in port, or containerised, monitored by Port Authorities or other government offices","Quantités déchargées, qu'il s'agisse de débarquement, de transbordement en mer ou au port, ou de conteneurisation, suivies par les autorités portuaires (échantillonnages ou dénombrement total)"
"PR",,"RC","Fishing industry","Industrie de pêche","Amounts offloaded, whether landed, transshipped at sea or in port, or containerised, monitored by the fishing industry (e.g., fishing vessel, canning factory, stevedores, auction hall, processing plants, etc.)","Quantités déchargées, qu'il s'agisse de débarquement, de transbordement en mer ou au port, ou de conteneurisation, suivies par l’industrie de la pêche (navires de pêche, conserveries, dockers, criées, usines de transformation, etc.)"
"RS",,"RC","Landing survey","Enquête débarquement","Amounts offloaded, whether landed, transshipped at sea or in port, or containerised, monitored through sampling surveys or total enumeration","Quantités déchargées, qu'il s'agisse de débarquement, de transbordement en mer ou au port, ou de conteneurisation, suivies par du personnel d’institutions de recherche (échantillonnages ou dénombrement total)"
"UN",,"RC","Unknown","Inconnu","Amounts unknown; fully estimated","Inconnu; Entièrement estimé"
"EM",,"RO","Electronic monitoring","Suivi électronique","Data derived from the review of information collected using Electronic Monitoring Systems under the Regional Observer Scheme","Données issues de l'analyse des informations recueillies à l'aide de systèmes de suivi électronique dans le cadre du Mécanisme Régional d'Observateurs Scientifiques"
"OB",,"RO","Observer","Observateurs","Data collected at sea by scientific observers under the Regional Observer Scheme","Données collectées en mer par des observateurs scientifiques dans le cadre du Mécanisme Régional d'Observateurs Scientifiques"
"EL",,"SF","Electronic monitoring","Suivi électronique","Individual fish lengths / weights monitored through electronic means (e.g., video system, etc.)","Longueurs/poids individuels mesurés par des moyens électroniques (systèmes vidéo, etc.)"
"LG",,"SF","Logbook","Livre de bord","Individual fish lengths / weights monitored by fishermen during the fishing trip (recorded in a logbook)","Longueurs/poids individuels mesurés par les pêcheurs durant la marée (livre de bord)"
"OB",,"SF","Observer","Observateurs","Individual fish lengths / weights monitored by scientific observers during the fishing trip","Longueurs/poids individuels mesurés par des observateurs scientifiques durant la marée"
"PR",,"SF","Fishing industry","Industrie de pêche","Individual fish lengths / weights monitored at the end of the trip by the fishing industry (e.g., fishing vessel, canning factory, stevedores, auction hall, processing plants, etc.)","Longueurs/poids individuels mesurés à la fin de la marée par l’industrie de la pêche (navires de pêche, conserveries, dockers, criées, usines de transformation, etc.)"
"RS",,"SF","Landing survey","Enquête débarquement","Individual fish lengths / weights monitored at the landing place by staff from research institutions","Longueurs/poids individuels mesurés sur les sites de débarquement par du personnel d’institutions de recherche"
"UN",,"SF","Unknown","Inconnu","Amounts unknown; fully estimated","Inconnu; Entièrement estimé"
